dim_CC_maxs,index,key
6474,0,real
6338,0,ER p: 0.0006
6474,0,UPA m: 2
6473,1,real
6472,2,real
6471,3,real
6470,4,real
6469,5,real
6467,6,real
6466,7,real
6465,8,real
6464,9,real
6463,10,real
6462,11,real
6461,12,real
6460,13,real
6459,14,real
6458,15,real
6457,16,real
6456,17,real
6455,18,real
6453,19,real
6452,20,real
6451,21,real
6450,22,real
6449,23,real
6448,24,real
6447,25,real
6446,26,real
6445,27,real
6444,28,real
6443,29,real
6442,30,real
6441,31,real
6440,32,real
6439,33,real
6438,34,real
6437,35,real
6436,36,real
6434,37,real
6433,38,real
6432,39,real
6431,40,real
6430,41,real
6429,42,real
6428,43,real
6427,44,real
6426,45,real
6425,46,real
6424,47,real
6423,48,real
6422,49,real
6421,50,real
6420,51,real
6419,52,real
6418,53,real
6417,54,real
6416,55,real
6415,56,real
6414,57,real
6413,58,real
6412,59,real
6411,60,real
6410,61,real
6409,62,real
6408,63,real
6407,64,real
6406,65,real
6405,66,real
6404,67,real
6403,68,real
6402,69,real
6400,70,real
6399,71,real
6398,72,real
6397,73,real
6396,74,real
6395,75,real
6394,76,real
6393,77,real
6392,78,real
6391,79,real
6390,80,real
6389,81,real
6388,82,real
6387,83,real
6386,84,real
6385,85,real
6381,86,real
6374,87,real
6373,88,real
6372,89,real
6371,90,real
6370,91,real
6369,92,real
6368,93,real
6367,94,real
6366,95,real
6365,96,real
6364,97,real
6363,98,real
6362,99,real
6361,100,real
6360,101,real
6359,102,real
6357,103,real
6356,104,real
6355,105,real
6354,106,real
6353,107,real
6352,108,real
6347,109,real
6346,110,real
6344,111,real
6343,112,real
6342,113,real
6341,114,real
6340,115,real
6339,116,real
6338,117,real
6337,118,real
6336,119,real
6326,120,real
6325,121,real
6324,122,real
6323,123,real
6322,124,real
6321,125,real
6320,126,real
6318,127,real
6317,128,real
6316,129,real
6315,130,real
6314,131,real
6313,132,real
6312,133,real
6311,134,real
6310,135,real
6309,136,real
6308,137,real
6307,138,real
6306,139,real
6305,140,real
6304,141,real
6303,142,real
6302,143,real
6301,144,real
6300,145,real
6299,146,real
6298,147,real
6297,148,real
6296,149,real
6295,150,real
6294,151,real
6293,152,real
6292,153,real
6291,154,real
6290,155,real
6289,156,real
6287,157,real
6286,158,real
6285,159,real
6284,160,real
6283,161,real
6282,162,real
6281,163,real
6280,164,real
6279,165,real
6278,166,real
6277,167,real
6276,168,real
6275,169,real
6274,170,real
6273,171,real
6272,172,real
6271,173,real
6270,174,real
6269,175,real
6263,176,real
6262,177,real
6261,178,real
6256,179,real
6255,180,real
6254,181,real
6253,182,real
6252,183,real
6251,184,real
6249,185,real
6248,186,real
6247,187,real
6246,188,real
6245,189,real
6244,190,real
6243,191,real
6242,192,real
6241,193,real
6240,194,real
6239,195,real
6238,196,real
6237,197,real
6236,198,real
6235,199,real
6234,200,real
6233,201,real
6232,202,real
6231,203,real
6228,204,real
6227,205,real
6219,206,real
6214,207,real
6213,208,real
6212,209,real
6211,210,real
6210,211,real
6209,212,real
6208,213,real
6207,214,real
6205,215,real
6204,216,real
6203,217,real
6202,218,real
6201,219,real
6199,220,real
6198,221,real
6197,222,real
6196,223,real
6195,224,real
6194,225,real
6193,226,real
6192,227,real
6191,228,real
6190,229,real
6189,230,real
6188,231,real
6187,232,real
6186,233,real
6185,234,real
6184,235,real
6183,236,real
6182,237,real
6181,238,real
6180,239,real
6179,240,real
6178,241,real
6177,242,real
6176,243,real
6175,244,real
6174,245,real
6173,246,real
6171,247,real
6170,248,real
6169,249,real
6168,250,real
6167,251,real
6166,252,real
6165,253,real
6164,254,real
6163,255,real
6153,256,real
6150,257,real
6149,258,real
6148,259,real
6147,260,real
6146,261,real
6145,262,real
6144,263,real
6143,264,real
6142,265,real
6140,266,real
6139,267,real
6138,268,real
6137,269,real
6136,270,real
6135,271,real
6134,272,real
6133,273,real
6132,274,real
6131,275,real
6130,276,real
6129,277,real
6128,278,real
6127,279,real
6124,280,real
6123,281,real
6122,282,real
6121,283,real
6120,284,real
6119,285,real
6118,286,real
6117,287,real
6116,288,real
6115,289,real
6114,290,real
6113,291,real
6112,292,real
6111,293,real
6110,294,real
6109,295,real
6108,296,real
6105,297,real
6104,298,real
6103,299,real
6102,300,real
6101,301,real
6100,302,real
6099,303,real
6097,304,real
6096,305,real
6095,306,real
6093,307,real
6092,308,real
6091,309,real
6090,310,real
6089,311,real
6088,312,real
6087,313,real
6086,314,real
6084,315,real
6083,316,real
6082,317,real
6081,318,real
6080,319,real
6079,320,real
6078,321,real
6077,322,real
6076,323,real
6075,324,real
6074,325,real
6073,326,real
6072,327,real
6071,328,real
6070,329,real
6069,330,real
6062,331,real
6061,332,real
6060,333,real
6059,334,real
6058,335,real
6057,336,real
6056,337,real
6055,338,real
6054,339,real
6053,340,real
6052,341,real
6051,342,real
6050,343,real
6049,344,real
