dim_CC_maxs,index,key
6474,0,real
6331,0,ER p: 0.0006
6474,0,UPA m: 2
6473,1,real
6472,2,real
6471,3,real
6468,4,real
6467,5,real
6466,6,real
6465,7,real
6464,8,real
6462,9,real
6461,10,real
6460,11,real
6459,12,real
6458,13,real
6457,14,real
6456,15,real
6455,16,real
6454,17,real
6453,18,real
6452,19,real
6451,20,real
6450,21,real
6449,22,real
6448,23,real
6447,24,real
6446,25,real
6445,26,real
6444,27,real
6443,28,real
6442,29,real
6441,30,real
6440,31,real
6439,32,real
6438,33,real
6437,34,real
6436,35,real
6433,36,real
6431,37,real
6430,38,real
6429,39,real
6428,40,real
6427,41,real
6426,42,real
6423,43,real
6422,44,real
6421,45,real
6420,46,real
6419,47,real
6418,48,real
6417,49,real
6416,50,real
6415,51,real
6414,52,real
6411,53,real
6410,54,real
6409,55,real
6408,56,real
6407,57,real
6406,58,real
6405,59,real
6401,60,real
6400,61,real
6399,62,real
6398,63,real
6397,64,real
6396,65,real
6395,66,real
6394,67,real
6393,68,real
6389,69,real
6388,70,real
6387,71,real
6380,72,real
6379,73,real
6378,74,real
6377,75,real
6376,76,real
6375,77,real
6374,78,real
6373,79,real
6372,80,real
6371,81,real
6370,82,real
6369,83,real
6364,84,real
6363,85,real
6362,86,real
6361,87,real
6360,88,real
6358,89,real
6357,90,real
6356,91,real
6355,92,real
6354,93,real
6353,94,real
6346,95,real
6345,96,real
6344,97,real
6340,98,real
6339,99,real
6338,100,real
6337,101,real
6336,102,real
6335,103,real
6334,104,real
6333,105,real
6332,106,real
6331,107,real
6330,108,real
6329,109,real
6328,110,real
6327,111,real
6326,112,real
6325,113,real
6324,114,real
6323,115,real
6322,116,real
6321,117,real
6320,118,real
6319,119,real
6318,120,real
6317,121,real
6316,122,real
6314,123,real
6313,124,real
6312,125,real
6311,126,real
6310,127,real
6309,128,real
6308,129,real
6307,130,real
6306,131,real
6305,132,real
6304,133,real
6303,134,real
6302,135,real
6301,136,real
6300,137,real
6299,138,real
6299,139,real
6298,140,real
6297,141,real
6296,142,real
6295,143,real
6294,144,real
6293,145,real
6292,146,real
6291,147,real
6289,148,real
6288,149,real
6287,150,real
6286,151,real
6284,152,real
6283,153,real
6282,154,real
6281,155,real
6280,156,real
6279,157,real
6278,158,real
6277,159,real
6276,160,real
6275,161,real
6274,162,real
6273,163,real
6268,164,real
6267,165,real
6266,166,real
6265,167,real
6264,168,real
6263,169,real
6262,170,real
6261,171,real
6260,172,real
6259,173,real
6258,174,real
6257,175,real
6256,176,real
6255,177,real
6254,178,real
6253,179,real
6252,180,real
6251,181,real
6250,182,real
6249,183,real
6248,184,real
6238,185,real
6237,186,real
6236,187,real
6235,188,real
6234,189,real
6233,190,real
6232,191,real
6231,192,real
6229,193,real
6228,194,real
6227,195,real
6226,196,real
6225,197,real
6224,198,real
6223,199,real
6222,200,real
6221,201,real
6220,202,real
6219,203,real
6218,204,real
6217,205,real
6216,206,real
6215,207,real
6214,208,real
6213,209,real
6211,210,real
6208,211,real
6207,212,real
6206,213,real
6205,214,real
6204,215,real
6198,216,real
6197,217,real
6196,218,real
6195,219,real
6194,220,real
6193,221,real
6192,222,real
6191,223,real
6190,224,real
6188,225,real
6187,226,real
6186,227,real
6185,228,real
6184,229,real
6183,230,real
6182,231,real
6181,232,real
6180,233,real
6179,234,real
6178,235,real
6177,236,real
6176,237,real
6175,238,real
6174,239,real
6173,240,real
6172,241,real
6171,242,real
6170,243,real
6169,244,real
6168,245,real
6167,246,real
6166,247,real
6165,248,real
6164,249,real
6163,250,real
6162,251,real
6161,252,real
6160,253,real
6159,254,real
6158,255,real
6157,256,real
6156,257,real
6155,258,real
6154,259,real
6153,260,real
6152,261,real
6151,262,real
6150,263,real
6149,264,real
6146,265,real
6145,266,real
6142,267,real
6141,268,real
6140,269,real
6139,270,real
6138,271,real
6137,272,real
6136,273,real
6135,274,real
6134,275,real
6133,276,real
6132,277,real
6131,278,real
6130,279,real
6129,280,real
6128,281,real
6127,282,real
6126,283,real
6126,284,real
6125,285,real
6124,286,real
6123,287,real
6122,288,real
6120,289,real
6119,290,real
6118,291,real
6117,292,real
6116,293,real
6115,294,real
6114,295,real
6113,296,real
6112,297,real
6111,298,real
6095,299,real
6094,300,real
6092,301,real
6091,302,real
6089,303,real
6088,304,real
6087,305,real
6086,306,real
6085,307,real
6084,308,real
6083,309,real
6082,310,real
6081,311,real
6080,312,real
6079,313,real
6078,314,real
6077,315,real
6076,316,real
6075,317,real
6074,318,real
6073,319,real
6072,320,real
6071,321,real
6070,322,real
6069,323,real
6068,324,real
