Eselborn, Op der San
Heffingen, Rue de Ch
Hautcharage, Stade  
Mecher, Dueref      
Strassen, Schoenacht
Greiveldange, Schoul
Dudelange, Gare-Usin
Clausen, Malakoff   
Erpeldange/Ettelbruc
Rameldange, Beiebier
Maldingen, Kirche   
Schifflange, Cit  Em
Oberpallen, Schnudde
Clervaux, Piscine   
Diekirch, Neie Kolle
Esch/Alzette, Bd Alo
Cessange, Boy Konen 
Belair, Sacr -Coeur 
Sandweiler, Koschter
Burer Millen        
Rosport, Lokal      
Wilwerwiltz, Schoulk
Luxembourg/Strassen,
Alscheid, Haut      
Reuler, Duerf       
Marnach, P nnik     
Sanem, Zentrum      
Marnach, Bombatsch  
Schuttrange, Al-Sch 
Clervaux, Kalborn/Ka
Nommern, Kiirch     
Longuich, Parkplatz 
Marnach, F schberstr
Obercorn, LTMA Annex
Kreizerbuch         
Gonderange, Stohlbou
Leudelange, Schl iwe
Boxhorn, Hongerkaul 
Oberglabach, Kapell 
Lipperscheid, Leweck
Limpertsberg, Arts e
Marnach, Gesch ftsze
Folschette, Rammeric
Steinsel, Michel Rod
Dudelange, Kr izbier
Lenningen, Basilika 
Kehlen, Schaarfeneck
Hoffelt, Driicht    
Itzig, Itzigerstee  
Gostingen, Am Ennerd
Wasserliesch, Reinig
Trier, Messepark P+R
Schrondweiler, Um Wo
Wasserbillig, Meseni
Perl , An der Huel  
Schlindermanderschei
Differdange, Gare   
Heffingen, Abri (Cen
Clemency, Schock    
Hachiville, Centre  
Bonnevoie, Demy Schl
Gasperich, Fran ois 
Schuttrange, Kierche
Esch/Alzette, Kazebi
Wiltz, Belle Vue    
Nocher, Um Knupp    
Alsdorf (Eifel), Abz
Junglinster, Um Radi
Altwies, An der Kaz 
Rodange, Kierch     
Kayl, Broucherbierg 
P tange, Gare       
Dudelange, Rue Nic B
Beckerich, Fraiheets
Ernster, Engelshaff 
Bereldange, Police  
Gasperich/Howald, P&
Benonchamps, N  108 
Consdorf, Post      
Esch/Alzette, Kierfe
Hupperdange, Schull 
Tuntange, Weisserche
Irrhausen, Im Pfenn 
Nospelt, Pompjeesbau
Sanem, Kierch       
Bettendorf, Gemeng  
Reisdorf, Bei der Ga
Niederanven, Geisfel
Boevange/Attert, Mil
Grevenmacher, Copal 
Aubange, Village    
Wahlhausen, Akescht 
Weimerskirch, Pierre
Wecker, Coboulux    
Schengen, Um Haff   
Herserange, Paris   
Ettelbruck, Cit  Pat
Rodange, Niederredin
Lenningen, Am Aker  
Consdorf, Schoul    
Arsdorf, Am Gronn   
Mt.St.Martin, Jean J
Cessange, Fischerhaf
Kirchberg, Konrad Ad
P tange, Paschtouesc
Pronsfeld, Kirche   
Esch/Alzette, Piscin
Soleuvre, Zolwerknap
Soleuvre, Rouseb sch
Hamm, Peupliers     
Mondorf, R imecherst
Nocher, Route N 20  
Medernach, Fondation
Sterpenich, Passage 
Kleinhoscheid       
Beiler, Bei der aler
Mt.St.Martin, Maison
Remich, Pl. Nico Klo
Flatzbour           
Cessange, Artisans  
Roeser, Gemeng      
Beaufort, Um Bierg  
Kirchberg, Sichegron
Hagen, Op Eechelter 
Oberpallen, Br ck   
Grosbous, Spr tzenha
Niederpallen, Ditzeb
Mt.St.Martin, Nancy 
Esch/Alzette, Lallen
Flaxweiler, Op der B
Kirchberg, Labours  
Brouch/Mersch, Kierc
Roodt/Syre, Barri r 
Reimberg            
Reckange/Mersch, Hos
Wilwerdange, Kiirch 
Belvaux, Roudewee   
Mersch, B nzert     
Kehlen, Enneschte Bu
Heiderscheid, Zone C
Huldange, Scierie   
Rodange, rue Philipp
Arsdorf, Op der Lee 
Noertrange, Um Dr ic
Rodange, Gendarmerie
Pontpierre, Koppbier
Reuland             
Belvaux, Uewerkuerer
Dellen, Am Duerf    
Strassen, Atrium    
Berl , Um Dr isch   
Strassen, Geesseneck
Esch/Alzette, Ausz i
Leudelange, LaLux   
Holtz, Um Bur       
Lorentzweiler, rue d
Eschette, Duerf     
Belvaux, Henri Tudor
Savelborn, Haaptstro
L velange, Kalek    
Niedercorn, CHEM 1  
Perl, Bahnhofstrasse
Centre, St replaz / 
Boxhorn, Schemer    
Ell, Beim Musikssaul
Grosbous, Beim Iwwer
Moestroff, Wangerten
Asselborn, Elwenter 
Hollenfels, Vereinsb
Trier, Christophstr.
Schoenfels, Schlass 
Rodenbourg, An der S
Orscholz, Post      
Lorentzweiler, Gare 
Schweich, P&R       
Bollendorf-Pont, Ham
Vianden, Place Engel
Nothum, Molkerei    
Lasauvage, Kierch   
Saeul, Post         
Esch/Alzette, Auberg
Machtum, Bei der Sch
Merscheid/Heidersche
Gasperich, Lascombes
Kuborn              
Emerange, Centre Cul
Strasbourg          
Burden, Haaptstrooss
Schieren, Faubourg  
Bascharage, Bomecht 
Ehner, Krier        
Gilsdorf, Am Treppch
Gonderange, Op der B
Howald, Minsb sch   
Gonderange, Op der G
Rollingergrund, Stee
Longwy, Place Darche
Barnich, Ecole      
Erpeldange/Bous, Sch
Michelbouch         
Merscheid/Putscheid,
Wahlhausen, Kiirch  
Rodange, Vullesang  
Moutfort, Kiem      
Soleuvre, Huuschtewe
Lieler, G sselchen  
Dudelange, Rue Angel
Rumelange, Atelier K
Mondorf, Daundorf   
Pr m, Gerberweg     
Selz                
Knaphoscheid, Schent
Bonnevoie, Izegerknu
Hoscheid-Dickt, Um P
Hoscheid-Dickt, Um W
Angleur, Gare       
Esch/Alzette, Rue La
Colmar, Goldbierg   
Lipperscheid, Ale Ki
Diekirch, rue Merten
Luxembourg, Siggy vu
Niedercorn, Altershe
Warken, Cit  Waarkda
Bigonville, R imerwe
Kopstal, Kapell     
Pont-a-Mousson      
Walferdange, Gare   
Riesenhaff          
Belvaux, Brill      
Cruchten, Heemeschba
Beggen, Cyprien Merj
Ellenger Gare       
Kirchberg, Coque    
Wiltz, Pompjeesbau  
Selscheid, Dirwis   
Pratz, Folschterstro
Stegen, Bloen Eck   
Clausen, Plateau Alt
Schifflange, Huele W
Bettembourg, Caf  du
Kayl, Rue de Noertza
Colmar, rue de Luxem
Pontpierre, L tzebue
Frisange, Op der Kr 
Pontpierre, Leidelen
Charles Darwin      
Arlon, INDA         
Frisange, Hau       
Munsbach, Minsber Ba
Wormeldange, Op der 
Rameldange, Am Duerf
Derenbach, Weischent
Useldange, Spuerkees
Wiltz, Schwemm      
Nittel, Bahnhof     
Perl, Maim hle      
Moutfort, Kapell    
EIDE - Esch         
Ettelbruck, Rue Prin
Cessange, Duerf     
Nothum, Schumann    
Folschette, Carri re
Betzdorf, Bei der Sc
Cents, Halte CFL    
Altrier, Op der Scha
Leudelange, Grasb sc
Sprinkange, Place de
Esch/Alzette, Rue Mi
Bitburg, Echternache
Ingeldorf, Cactus   
Bastendorf, Beim Ter
Marnach, Beim Sender
Merl, Conservatoire 
Bouferknupp         
Lausdorn            
Belvaux-Soleuvre, Ga
Huldange, Grotte    
Reisdorf, An der Ee 
Dorscheid, Am Poul  
Flaxweiler, Am Faubo
Niedercorn, Route de
Luxembourg, Wallis  
Belvaux, Boulodrome 
KOPSTAL, Kl ipesch  
Bergem, Raedelsboesc
Wasserbillig, Centre
Arlon, Pl.des Chasse
Esch/Alzette, Rue M.
Colmar-Berg, Z.I. Ro
Elvange/Mondorf, Bei
Putscheid, Gemeng   
Beringen, W schbur  
Kayl, Post          
Pommerlach, Tr ntelh
Cents, Camille Polfe
Merl, Op der Millen 
Wolsfeld, Kirche    
Weimerskirch, M erte
Hobscheid, Viirstad 
